"RelativePath","Size","AssociatedInf"
"drivers/gw1-w149/audio-processing-object/EverestAPO.cat","22441","drivers/gw1-w149/audio-processing-object/oem2.inf"
"drivers/gw1-w149/audio-processing-object/oem2.inf","18890","drivers/gw1-w149/audio-processing-object/oem2.inf"
"drivers/gw1-w149/audio-processing-object/restore.ini","277","drivers/gw1-w149/audio-processing-object/oem2.inf"
"drivers/gw1-w149/audio-processing-object/swapapo.dll","962032","drivers/gw1-w149/audio-processing-object/oem2.inf"
"drivers/gw1-w149/bluetooth/ibtusb.cat","10364","drivers/gw1-w149/bluetooth/oem20.inf"
"drivers/gw1-w149/bluetooth/ibtusb.sys","16692512","drivers/gw1-w149/bluetooth/oem20.inf"
"drivers/gw1-w149/bluetooth/oem20.inf","35390","drivers/gw1-w149/bluetooth/oem20.inf"
"drivers/gw1-w149/bluetooth/restore.ini","268","drivers/gw1-w149/bluetooth/oem20.inf"
"drivers/gw1-w149/display-intel-uhd-graphics/c_32.cpa","1361159","drivers/gw1-w149/display-intel-uhd-graphics/oem19.inf"
"drivers/gw1-w149/display-intel-uhd-graphics/c_64.cpa","1376256","drivers/gw1-w149/display-intel-uhd-graphics/oem19.inf"
"drivers/gw1-w149/display-intel-uhd-graphics/ControlLib.dll","347480","drivers/gw1-w149/display-intel-uhd-graphics/oem19.inf"
"drivers/gw1-w149/display-intel-uhd-graphics/cp_resources.bin","2415596","drivers/gw1-w149/display-intel-uhd-graphics/oem19.inf"
"drivers/gw1-w149/display-intel-uhd-graphics/cpa_32.vp","1125","drivers/gw1-w149/display-intel-uhd-graphics/oem19.inf"
"drivers/gw1-w149/display-intel-uhd-graphics/cpa_64.vp","1125","drivers/gw1-w149/display-intel-uhd-graphics/oem19.inf"
"drivers/gw1-w149/display-intel-uhd-graphics/dev_32.vp","57143","drivers/gw1-w149/display-intel-uhd-graphics/oem19.inf"
"drivers/gw1-w149/display-intel-uhd-graphics/dev_64.vp","56359","drivers/gw1-w149/display-intel-uhd-graphics/oem19.inf"
"drivers/gw1-w149/display-intel-uhd-graphics/h265e_32.vp","73525","drivers/gw1-w149/display-intel-uhd-graphics/oem19.inf"
"drivers/gw1-w149/display-intel-uhd-graphics/h265e_64.vp","14257","drivers/gw1-w149/display-intel-uhd-graphics/oem19.inf"
"drivers/gw1-w149/display-intel-uhd-graphics/he_32.vp","71873","drivers/gw1-w149/display-intel-uhd-graphics/oem19.inf"
"drivers/gw1-w149/display-intel-uhd-graphics/he_64.vp","13665","drivers/gw1-w149/display-intel-uhd-graphics/oem19.inf"
"drivers/gw1-w149/display-intel-uhd-graphics/ig11icd32.dll","13481304","drivers/gw1-w149/display-intel-uhd-graphics/oem19.inf"
"drivers/gw1-w149/display-intel-uhd-graphics/ig11icd64.dll","16840560","drivers/gw1-w149/display-intel-uhd-graphics/oem19.inf"
"drivers/gw1-w149/display-intel-uhd-graphics/ig9icd32.dll","13098352","drivers/gw1-w149/display-intel-uhd-graphics/oem19.inf"
"drivers/gw1-w149/display-intel-uhd-graphics/ig9icd64.dll","16432008","drivers/gw1-w149/display-intel-uhd-graphics/oem19.inf"
"drivers/gw1-w149/display-intel-uhd-graphics/iga32.dll","2379912","drivers/gw1-w149/display-intel-uhd-graphics/oem19.inf"
"drivers/gw1-w149/display-intel-uhd-graphics/iga64.dll","2963960","drivers/gw1-w149/display-intel-uhd-graphics/oem19.inf"
"drivers/gw1-w149/display-intel-uhd-graphics/igc32.dll","41474952","drivers/gw1-w149/display-intel-uhd-graphics/oem19.inf"
"drivers/gw1-w149/display-intel-uhd-graphics/igc64.dll","48426216","drivers/gw1-w149/display-intel-uhd-graphics/oem19.inf"
"drivers/gw1-w149/display-intel-uhd-graphics/igd10iumd32.dll","15652704","drivers/gw1-w149/display-intel-uhd-graphics/oem19.inf"
"drivers/gw1-w149/display-intel-uhd-graphics/igd10iumd64.dll","19897952","drivers/gw1-w149/display-intel-uhd-graphics/oem19.inf"
"drivers/gw1-w149/display-intel-uhd-graphics/igd11dxva32.dll","63323016","drivers/gw1-w149/display-intel-uhd-graphics/oem19.inf"
"drivers/gw1-w149/display-intel-uhd-graphics/igd11dxva64.dll","64686760","drivers/gw1-w149/display-intel-uhd-graphics/oem19.inf"
"drivers/gw1-w149/display-intel-uhd-graphics/igd12dxva32.dll","63228864","drivers/gw1-w149/display-intel-uhd-graphics/oem19.inf"
"drivers/gw1-w149/display-intel-uhd-graphics/igd12dxva64.dll","64594152","drivers/gw1-w149/display-intel-uhd-graphics/oem19.inf"
"drivers/gw1-w149/display-intel-uhd-graphics/igd12umd32.dll","10948552","drivers/gw1-w149/display-intel-uhd-graphics/oem19.inf"
"drivers/gw1-w149/display-intel-uhd-graphics/igd12umd64.dll","11305400","drivers/gw1-w149/display-intel-uhd-graphics/oem19.inf"
"drivers/gw1-w149/display-intel-uhd-graphics/igd9dxva32.dll","62987112","drivers/gw1-w149/display-intel-uhd-graphics/oem19.inf"
"drivers/gw1-w149/display-intel-uhd-graphics/igd9dxva64.dll","64335680","drivers/gw1-w149/display-intel-uhd-graphics/oem19.inf"
"drivers/gw1-w149/display-intel-uhd-graphics/igdail32.dll","166784","drivers/gw1-w149/display-intel-uhd-graphics/oem19.inf"
"drivers/gw1-w149/display-intel-uhd-graphics/igdail64.dll","202632","drivers/gw1-w149/display-intel-uhd-graphics/oem19.inf"
"drivers/gw1-w149/display-intel-uhd-graphics/igdde32.dll","350240","drivers/gw1-w149/display-intel-uhd-graphics/oem19.inf"
